Filename,Graph Size (|V|),Minimum Bound,BB Result,BB Time (s),TAT Result,TAT Time (s),TAT Relative,Ch Result,Ch Time (s),Ch Relative
a280.tsp,280,2579,,,3800,0.515,1.473,2924,10.823,1.134
berlin11.tsp,11,4038,4038,3382.489,4747,0.009,1.176,4131,0.020,1.023
berlin52.tsp,52,7542,,,10114,0.030,1.341,8560,0.269,1.135
ch5.tsp,5,1704,1704,1.034,1851,0.007,1.086,1704,0.012,1.000
ch7.tsp,7,1884,1884,8.607,1912,0.007,1.015,1884,0.014,1.000
ch9.tsp,9,2265,2265,72.064,2501,0.009,1.104,2568,0.033,1.134
ch130.tsp,130,6110,,,8129,0.125,1.330,6841,1.852,1.120
ch150.tsp,150,6528,,,8413,0.152,1.289,7182,2.087,1.100
d6.tsp,6,4711,4711,14.698,4711,0.007,1.000,4849,0.016,1.029
d8.tsp,8,3320,3320,821.999,3443,0.008,1.037,3380,0.021,1.018
d198.tsp,198,15780,,,19129,0.329,1.212,17306,6.365,1.097
d493.tsp,493,35002,,,45085,1.582,1.288,38574,90.418,1.102
eil10.tsp,10,160,160,30.496,173,0.008,1.081,172,0.016,1.075
eil101.tsp,101,629,,,864,0.081,1.374,707,1.632,1.124
fl417.tsp,417,11861,,,16273,1.140,1.372,13073,21.512,1.102
fl1400.tsp,1400,20127,,,28632,13.087,1.423,22872,1767.272,1.136
kroA100.tsp,100,21282,,,27210,0.076,1.279,23293,1.357,1.094
kroB100.tsp,100,22141,,,25885,0.082,1.169,24012,0.943,1.085
lin105.tsp,105,14379,,,20176,0.085,1.403,16487,1.239,1.147
lin318.tsp,318,42029,,,59158,0.631,1.408,47451,21.519,1.129
pr76.tsp,76,108159,,,145336,0.054,1.344,116684,0.420,1.079
pr107.tsp,107,44303,,,54237,0.089,1.224,47906,0.914,1.081
pr136.tsp,136,96772,,,151904,0.134,1.570,103772,0.687,1.072
pr144.tsp,144,58537,,,80599,0.148,1.377,70610,0.729,1.206
pr152.tsp,152,73682,,,92018,0.167,1.249,79224,0.751,1.075
pr226.tsp,226,80369,,,115268,0.351,1.434,92415,5.403,1.150
pr264.tsp,264,49135,,,70619,0.485,1.437,54525,5.223,1.110
pr299.tsp,299,48191,,,64572,0.573,1.340,52998,17.324,1.100
pr439.tsp,439,107217,,,146846,1.300,1.370,120358,28.172,1.123
rat99.tsp,99,1211,,,1679,0.074,1.386,1393,1.094,1.150
rat195.tsp,195,2323,,,3395,0.262,1.461,2657,5.076,1.144
rat575.tsp,575,6773,,,9497,2.141,1.402,7778,111.493,1.148
rat783.tsp,783,8806,,,12065,3.712,1.370,10064,271.071,1.143
u159.tsp,159,42080,,,58296,0.180,1.385,46896,2.722,1.114
u574.tsp,574,36905,,,49655,2.034,1.345,41329,112.396,1.120
u729.tsp,729,41910,,,57709,3.297,1.377,47879,199.195,1.142
